B13-A-01-S2;Chevron;Boorgatstatus;Producing;Producing/Injecting
B13-A-02;Petrogas;Boorgatstatus;Producing;Producing/Injecting
B13-A-03;Petrogas;Boorgatstatus;Producing;Producing/Injecting
B13-A-04;Petrogas;Boorgatstatus;FAILED;Plugged back and sidetracked
B13-A-04-S1;Chevron;Huidige eigenaar;Chevron;Petrogas
B13-A-04-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
B14-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
B14-02;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
B14-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
B16-01;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
B17-01;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
B17-02;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
B17-03;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
B17-04;ARCO;Boorgatstatus;Plugged and abandoned;Abandoned
B17-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
B17-06;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
B18-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
B18-03;Centrica Production Nederland B.V.;Huidige eigenaar;Centrica Production Nederland B.V.;Spirit Energy
B18-03;Centrica Production Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
B18-06;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
BAC-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BAR-NE-01;Shell Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BAR-NE-02-A;Shell Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BAR-NE-02-B;Shell Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BAS-01;Frisia Zout;Boorgatstatus;Producing;Producing/Injecting
BAS-02;Frisia Zout;Boorgatstatus;Closed-in;Abandoned
BAS-04;Frisia Zout;Boorgatstatus;-;Producing/Injecting
BDK-01;Chevron;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BDK-01-S1;Chevron;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BDK-01-S2;Chevron;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BDK-01-S3;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
BDM-01;NAM;Boorgatstatus;Producing;Producing/Injecting
BDM-02;NAM;Boorgatstatus;Producing;Producing/Injecting
BDM-03;NAM;Boorgatstatus;Producing;Producing/Injecting
BDM-04;NAM;Boorgatstatus;Producing;Producing/Injecting
BDM-05;NAM;Boorgatstatus;-;Producing/Injecting
BEE-12;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BEE-72;Staatsmijnen;Boorgatstatus;Plugged and abandoned;Abandoned
BEI-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BEI-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BEN-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BER-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BER-01-A;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BER-03;TAQA;Boorgatstatus;Producing;Producing/Injecting
BER-04;TAQA;Boorgatstatus;Producing;Producing/Injecting
BFD-14;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BGM-02;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BGM-03;TAQA;Boorgatstatus;Observing;Plugged back and sidetracked
BGM-04;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BGM-05;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BGM-06;TAQA;Boorgatstatus;Plugged and abandoned;Plugged back and sidetracked
BGM-07;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BGM-08;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BGM-09;TAQA;Boorgatstatus;Observing;Abandoned
BGM-09;TAQA;Einddatum;28-09-1991;10-09-1991
BGM-11;TAQA;Aangeleverde Y;518332;518332.03
BGM-11;TAQA;Aangeleverde X;109534;109534.27
BGM-24;TAQA;Boorgatstatus;-;Producing/Injecting
BGM-29;TAQA;Boorgatstatus;-;Producing/Injecting
BHG-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BHH-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BHM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BHM-03;NAM;Boorgatstatus;Closed-in;Abandoned
BHM-04;NAM;Boorgatstatus;Producing;Producing/Injecting
BHM-05-S3;NAM;Boorgatstatus;Closed-in;Suspended
BHM-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BIR-01;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-02-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-03;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-04;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-05;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-06;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-07;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-08;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-10;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-11;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-12;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-13-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BIR-13-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
BIR-OBS;NAM;Boorgatstatus;-;Observing
BKH-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BKL-01-S2;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BKLM-01;TAQA;Boorgatstatus;Technisch mislukt en sidetracked;Plugged back and sidetracked
BKLM-01-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
BKLM-02;TAQA;Boorgatstatus;Producing;Producing/Injecting
BKLM-03-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
BKLM-05;TAQA;Boorgatstatus;Producing;Producing/Injecting
BKLM-06;TAQA;Boorgatstatus;Producing;Producing/Injecting
BKLM-07-S1;TAQA;Boorgatstatus;-;Producing/Injecting
BKLM-08;TAQA;Boorgatstatus;Producing;Producing/Injecting
BKLM-09;TAQA;Boorgatstatus;Producing;Producing/Injecting
BKM-01;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BKN-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BKP-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BKZ-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
BLA-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
BLA-01-S1;Total;Boorgatstatus;Plugged and abandoned;Abandoned
BLD-01;Vermilion;Mijnbouwwerk Naam;Blesdijke;Blesdijke 1
BLD-01;Vermilion;Mijnbouwwerk Code;BLD;BLD-1
BLE-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BLF-103;NAM;Boorgatstatus;Producing;Producing/Injecting
BLF-104-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
BLF-105;NAM;Boorgatstatus;Producing;Producing/Injecting
BLF-106-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
