TWR-210;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-211;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-212;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-213;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-214;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-215;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-216;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-217;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-218;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-219;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-220;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-221;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-222;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-223;Akzo Nobel Salt B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
TWR-224;Akzo Nobel Salt B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
TWR-224A;Akzo Nobel Salt B.V.;Boorgatstatus;-;Observing
TWR-225;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Abandoned
TWR-226;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-227;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Abandoned
TWR-228;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-229;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-230;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-231;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-232;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-233;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-234;Akzo Nobel Salt B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
TWR-234A;Akzo Nobel Salt B.V.;Boorgatstatus;-;Observing
TWR-235;Akzo Nobel Salt B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
TWR-236;Akzo Nobel Salt B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
TWR-237;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-238;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-239;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-240;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-241;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-242;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Abandoned
TWR-243;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-244;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Abandoned
TWR-245;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-246;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-247;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-248;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-249;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-250;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-251;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-252;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-253;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-254;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-255;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-256;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-257;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-258;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-259;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-260;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-261;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-262;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-263;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-264;Akzo Nobel Salt B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
TWR-265;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-266;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-267;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-268;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-269;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-270;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-271;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-272;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-273;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-274;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-275;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-276;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-277;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-278;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-279;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-280;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-281;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-282;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-283;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-284;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-285;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-286;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-287;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-288;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-289;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-290;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-291;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-292;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-293;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-294;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-295;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-296;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-297;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-298;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-299;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-300;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-301;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-302;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-303;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-304;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-305;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-306;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-307;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-308;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-309;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-310;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-311;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-312;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-313;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-314;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-315;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-316;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-317;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-318;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-319;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-320;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-321;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-322;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-323;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-324;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-325;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-326;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-327;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-328;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-329;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-330;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-331;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-332;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-333;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-334;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-335;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-336;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-337;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-338;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-339;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-340;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-341;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-342;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-343;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-344;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-345;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-346;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-347;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-347A;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Observing
TWR-347B;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Observing
TWR-348;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-349;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-350;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Closed-in
TWR-351;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-352;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-353;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-354;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-355;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-356;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-357;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-358;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-359;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-360;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-361;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-362;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-363;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-364;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-365;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-366;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-367;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-368;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-369;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-370;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-371;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-372;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-373;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-374;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-375;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-376;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-377;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-378;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-379;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-380;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-381;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-382;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-383;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-384;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-385;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-386;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-387;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-388;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-389;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-390;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-391;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-392;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-393;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-394;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-395;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-396;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-397;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-398;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-399;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-400;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-401;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-402;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-403;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-404;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-405;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-406;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-407;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-408;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-409;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-410;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-411;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-412;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-413;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-414;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-415;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-416;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-417;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-418;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-419;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-420;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-421;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-422;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-423;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-424;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-425;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-426;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-427;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-428;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-429;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-430;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-431;Akzo Nobel Salt B.V.;Boorgatstatus;Unknown;Closed-in
TWR-432;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-433;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-434;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-435;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-436;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-437;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-438;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-439;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-440;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-441;Akzo Nobel Salt B.V.;Boorgatstatus;Unknown;Closed-in
TWR-442;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-443;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Closed-in
TWR-444;Akzo Nobel Salt B.V.;Boorgatstatus;Unknown;Closed-in
TWR-445;Akzo Nobel Salt B.V.;Boorgatstatus;Unknown;Producing/Injecting
TWR-446;Akzo Nobel Salt B.V.;Boorgatstatus;Unknown;Closed-in
TWR-447;Akzo Nobel Salt B.V.;Boorgatstatus;Unknown;Producing/Injecting
TWR-448;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-449;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-450;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-451;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-452;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-453;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-454;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-455;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-456;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-457;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-458;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-459;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-460;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-461;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-462;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-463;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-464;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-465;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-466;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-467;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-468;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-469;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-470;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-471;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-472;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-473;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-474;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Suspended
TWR-475;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-476;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-477;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-478;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-479;Akzo Nobel Salt B.V.;Boorgatstatus;Unknown;Closed-in
TWR-480;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-481;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-483;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-484;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-485;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Producing/Injecting
TWR-486;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-487;Akzo Nobel Salt B.V.;Boorgatstatus;Planned;Producing/Injecting
TWR-488;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-489;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-490;Akzo Nobel Salt B.V.;Boorgatstatus;Borehole ready;Producing/Injecting
TWR-491;Akzo Nobel Salt B.V.;Boorgatstatus;-;Closed-in
TWR-492;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-493;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-494;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-495;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-496;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-497;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-498;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-499;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-500;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-501;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-502;Akzo Nobel Salt B.V.;Boorgatstatus;Borehole ready;Producing/Injecting
TWR-503;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-504;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-505;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-506;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-507;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-508;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-509;Akzo Nobel Salt B.V.;Boorgatstatus;-;Closed-in
TWR-510;Akzo Nobel Salt B.V.;Boorgatstatus;-;Closed-in
TWR-511;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-512;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Producing/Injecting
TWR-513;Akzo Nobel Salt B.V.;Boorgatstatus;Completed to well;Closed-in
TWR-514;Akzo Nobel Salt B.V.;Boorgatstatus;-;Closed-in
TWR-515;Akzo Nobel Salt B.V.;Boorgatstatus;Producing;Closed-in
TWR-516;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-517;Akzo Nobel Salt B.V.;Boorgatstatus;-;Closed-in
TWR-520;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-521;Akzo Nobel Salt B.V.;Boorgatstatus;-;Closed-in
TWR-523;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-529;AkzoNobel;Veld Code;-;TWRN ZOUT
TWR-529;AkzoNobel;Boorfirma;AkzoNobel;Akzo Nobel Salt B.V.
TWR-529;AkzoNobel;Opdrachtgever;AkzoNobel;Akzo Nobel Salt B.V.
TWR-529;AkzoNobel;Huidige eigenaar;AkzoNobel;Akzo Nobel Salt B.V.
TWR-529;AkzoNobel;Boorgatnaam;TWENTHE-RIJN-529;TWENTE-RIJN-529
TWR-529;AkzoNobel;Mijnbouwwerk Naam;-;Boorterrein Hengelo
TWR-529;AkzoNobel;Mijnbouwwerk Code;-;TWR
TWR-530;AkzoNobel;Veld Code;-;TWRN ZOUT
TWR-530;AkzoNobel;Boorfirma;AkzoNobel;Akzo Nobel Salt B.V.
TWR-530;AkzoNobel;Opdrachtgever;AkzoNobel;Akzo Nobel Salt B.V.
TWR-530;AkzoNobel;Huidige eigenaar;AkzoNobel;Akzo Nobel Salt B.V.
TWR-530;AkzoNobel;Boorgatnaam;TWENTHE-RIJN-530;TWENTE-RIJN-530
TWR-530;AkzoNobel;Mijnbouwwerk Naam;-;Boorterrein Hengelo
TWR-530;AkzoNobel;Mijnbouwwerk Code;-;TWR
TWR-534;Akzo Nobel Salt B.V.;Boorgatstatus;-;Producing/Injecting
TWR-537;Akzo Nobel Salt B.V.;Veld Code;-;TWRN ZOUT
TWR-537;Akzo Nobel Salt B.V.;Mijnbouwwerk Naam;-;Boorterrein Hengelo
TWR-537;Akzo Nobel Salt B.V.;Mijnbouwwerk Code;-;TWR
TWR-539;Akzo Nobel Salt B.V.;Veld Code;-;TWRN ZOUT
TWR-539;Akzo Nobel Salt B.V.;Boorfirma;AkzoNobel;Akzo Nobel Salt B.V.
TWR-539;Akzo Nobel Salt B.V.;Opdrachtgever;AkzoNobel;Akzo Nobel Salt B.V.
TWR-539;Akzo Nobel Salt B.V.;Boorgatnaam;TWENTHE-RIJN-539;TWENTE-RIJN-539
